,Unnamed: 0,section-id,file-id,url,heading,Codes with >= 2 votes,abstracted_heading
0,0,1,1,https://github.com/xiaobai557/wechat,# [Easy WeChat](http://easywechat.org),-,#  @abstr_hyperlink
1,1,2,1,https://github.com/xiaobai557/wechat,## 特点,-,## 特点
2,2,3,1,https://github.com/xiaobai557/wechat,## 环境要求,-,## 环境要求
3,3,4,1,https://github.com/xiaobai557/wechat,## 安装,-,## 安装
4,4,5,1,https://github.com/xiaobai557/wechat,## 使用,-,## 使用
5,5,6,1,https://github.com/xiaobai557/wechat,## 文档,-,## 文档
6,6,7,1,https://github.com/xiaobai557/wechat,## 框架集成,-,## 框架集成
7,7,8,1,https://github.com/xiaobai557/wechat,## 贡献代码,-,## 贡献代码
8,8,9,1,https://github.com/xiaobai557/wechat,## License,-,## License
9,9,10,2,https://github.com/dungenessbin/think,# ThinkPHP 5.0,-,# ThinkPHP @abstr_number . @abstr_number
10,10,11,2,https://github.com/dungenessbin/think,## 目录结构,-,## 目录结构
11,11,12,2,https://github.com/dungenessbin/think,## 命名规范,-,## 命名规范
12,12,13,2,https://github.com/dungenessbin/think,### 目录和文件,-,### 目录和文件
13,13,14,2,https://github.com/dungenessbin/think,### 函数和类、属性命名,-,### 函数和类、属性命名
14,14,15,2,https://github.com/dungenessbin/think,### 常量和配置,-,### 常量和配置
15,15,16,2,https://github.com/dungenessbin/think,### 数据表和字段,-,### 数据表和字段
16,16,17,2,https://github.com/dungenessbin/think,## 参与开发,-,## 参与开发
17,17,18,2,https://github.com/dungenessbin/think,## 版权信息,-,## 版权信息
18,18,19,3,https://github.com/sethm/symon,# SYMON - A 6502 System Simulator,14,# SYMON - A @abstr_number System Simulator
19,19,20,3,https://github.com/sethm/symon,## 1.0 About,1246,## @abstr_number . @abstr_number About
20,20,21,3,https://github.com/sethm/symon,## 2.0 Requirements,3,## @abstr_number . @abstr_number Requirements
21,21,22,3,https://github.com/sethm/symon,## 3.0 Features,1,## @abstr_number . @abstr_number Features
22,22,23,3,https://github.com/sethm/symon,### 3.1 Memory Maps,1,### @abstr_number . @abstr_number Memory Maps
23,23,24,3,https://github.com/sethm/symon,#### 3.1.1 Symon Memory Map,1,#### @abstr_number . @abstr_number . @abstr_number Symon Memory Map
24,24,25,3,https://github.com/sethm/symon,#### 3.1.2 MULTICOMP Memory Map,1,#### @abstr_number . @abstr_number . @abstr_number MULTICOMP Memory Map
