section-id,file-id,url,heading,code-khoi,code-david,code-evan,Codes with >= 2 votes
4923,436,https://github.com/zhougr1993/DeepInterestNetwork,# DeepInterestNetwork,1,1,1,1
4924,436,https://github.com/zhougr1993/DeepInterestNetwork,## Important Statement,12,12,12,12
4925,436,https://github.com/zhougr1993/DeepInterestNetwork,## Introduction,156,156,156,156
4926,436,https://github.com/zhougr1993/DeepInterestNetwork,## Requirements,3,3,3,3
4927,436,https://github.com/zhougr1993/DeepInterestNetwork,## Download dataset and preprocess,3,3,3,3
4928,436,https://github.com/zhougr1993/DeepInterestNetwork,## Training and Evaluation,3,3,3,3
4929,436,https://github.com/zhougr1993/DeepInterestNetwork,## Dice,3,3,3,3
4930,437,https://github.com/wellcaffeinated/PhysicsJS,# This project is no longer maintained,16,16,16,16
4931,437,https://github.com/wellcaffeinated/PhysicsJS,# PhysicsJS,1,1,1,1
4932,437,https://github.com/wellcaffeinated/PhysicsJS,## Usage,3,3,3,3
4933,437,https://github.com/wellcaffeinated/PhysicsJS,## Contributing,7,7,7,7
4934,437,https://github.com/wellcaffeinated/PhysicsJS,### Pull Requests,7,7,7,7
4935,437,https://github.com/wellcaffeinated/PhysicsJS,## License MIT,5,5,5,5
4936,438,https://github.com/YousefED/typescript-json-schema,# typescript-json-schema,1,1,1,1
4937,438,https://github.com/YousefED/typescript-json-schema,## Features,13,13,1,13
4938,438,https://github.com/YousefED/typescript-json-schema,## Usage,3,3,3,3
4939,438,https://github.com/YousefED/typescript-json-schema,### Command line,3,3,3,3
4940,438,https://github.com/YousefED/typescript-json-schema,### Programmatic use,3,3,3,3
4941,438,https://github.com/YousefED/typescript-json-schema,### Annotations,3,3,36,3
4942,438,https://github.com/YousefED/typescript-json-schema,### `integer` type alias,3,3,3,3
4943,438,https://github.com/YousefED/typescript-json-schema,### `require` a variable from a file,3,3,3,3
4944,438,https://github.com/YousefED/typescript-json-schema,## Background,16,16,16,16
4945,438,https://github.com/YousefED/typescript-json-schema,## Debugging,3,3,3,3
4946,439,https://github.com/harjot-oberai/MaterialShadows,# MaterialShadows,12,12,1,12
4947,439,https://github.com/harjot-oberai/MaterialShadows,# Usage,3,3,3,3
4948,439,https://github.com/harjot-oberai/MaterialShadows,# Third Party Bindings,6,6,6,6
4949,439,https://github.com/harjot-oberai/MaterialShadows,# How does this work ?,135,3,135,135
4950,439,https://github.com/harjot-oberai/MaterialShadows,# Example Usage 1 (Simple),3,3,3,3
4951,439,https://github.com/harjot-oberai/MaterialShadows,#### XML,3,3,3,3
4952,439,https://github.com/harjot-oberai/MaterialShadows,#### Result,3,3,3,3
4953,439,https://github.com/harjot-oberai/MaterialShadows,# Example Usage 2 (Offset),3,3,3,3
4954,439,https://github.com/harjot-oberai/MaterialShadows,#### XML,3,3,3,3
4955,439,https://github.com/harjot-oberai/MaterialShadows,#### Result,3,3,3,3
4956,439,https://github.com/harjot-oberai/MaterialShadows,# Example Usage 3 (Shadow intensity),3,3,3,3
4957,439,https://github.com/harjot-oberai/MaterialShadows,#### XML,3,3,3,3
4958,439,https://github.com/harjot-oberai/MaterialShadows,#### Result,3,3,3,3
