file_id,section_id,content_text_w_o_tags
1,1,可能是目前最优雅的微信公众平台 SDK 了。  > 不支持企业号，也不打算支持，原因？微信的API实在设计得太乱了，我怕累死。。。    * SDK 官方论坛：https://forum.easywechat.org   * SDK 使用交流 QQ 群：@abstr_number   * 微信开发者交流 QQ 群：@abstr_number    @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink  
1,2, 命名不那么乱七八糟；   * 隐藏开发者不需要关注的细节；   * 方法使用更优雅，不必再去研究那些奇怪的的方法名或者类名是做啥用的；   * 自定义缓存方式；   * 符合 @abstr_hyperlink 标准，你可以各种方便的与你的框架集成；   * 高度抽象的消息类，免去各种拼json与xml的痛苦；   * 详细 Debug 日志，一切交互都一目了然；     
1,3,@abstr_number . PHP >= @abstr_number . @abstr_number . @abstr_number @abstr_number . @abstr_hyperlink @abstr_number . openssl 拓展 @abstr_number . fileinfo 拓展（素材管理模块需要用到）  > SDK 对所使用的框架并无特别要求  
1,4,@abstr_code_section  
1,5,基本使用（以服务端为例）:  @abstr_code_section  更多请参考 @abstr_hyperlink 。  
1,6,@abstr_hyperlink  > 强烈建议看懂微信文档后再来使用本 SDK。  
1,7,@abstr_hyperlink  
1,8,贡献指南  
1,9,MIT 
2,10,@abstr_hyperlink @abstr_hyperlink @abstr_hyperlink @abstr_hyperlink  ThinkPHP @abstr_number 在保持快速开发和大道至简的核心理念不变的同时，PHP版本要求提升到 @abstr_number . @abstr_number ，对已有的CBD模式做了更深的强化，优化核心，减少依赖，基于全新的架构思想和命名空间实现，是ThinkPHP突破原有框架思路的颠覆之作，其主要特性包括：    * 基于命名空间和众多PHP新特性   * 核心功能组件化   * 强化路由功能   * 更灵活的控制器   * 重构的模型和数据库类   * 配置文件可分离   * 重写的自动验证和完成   * 简化扩展机制   * API支持完善   * 改进的Log类   * 命令行访问支持   * REST支持   * 引导文件支持   * 方便的自动生成定义   * 真正惰性加载   * 分布式环境支持   * 更多的社交类库    > ThinkPHP @abstr_number 的运行环境要求PHP @abstr_number . @abstr_number 以上。  详细开发文档参考 @abstr_hyperlink  
